GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Asseteer,com.elofturtle.asseteer.application,Asseteer.new Enum() {...},21,0,0,0,4,0,1,0,1,0
Asseteer,com.elofturtle.asseteer.application,Asseteer.MENU_STATE,42,0,0,0,8,0,2,0,2,0
Asseteer,com.elofturtle.asseteer.model,Dependency,75,0,8,0,25,0,13,0,9,0
Asseteer,com.elofturtle.asseteer.model,Asset,213,0,16,0,63,0,32,0,24,0
Asseteer,com.elofturtle.asseteer.model,SBOM,12,0,0,0,6,0,2,0,2,0
Asseteer,com.elofturtle.asseteer.model,Programvara,109,0,0,0,42,0,13,0,13,0
Asseteer,com.elofturtle.asseteer.io,ProgramvaraFileReader,101,0,4,0,22,0,4,0,2,0
Asseteer,com.elofturtle.asseteer.io,XmlUtil.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
Asseteer,com.elofturtle.asseteer.io,AssetFileReader,25,0,0,0,11,0,2,0,2,0
Asseteer,com.elofturtle.asseteer.io,XmlUtil,29,0,0,0,7,0,4,0,4,0
Asseteer,com.elofturtle.asseteer.io,SBOMFileReader,197,0,18,0,49,0,11,0,2,0
